genesymbol_GRCh38,genetype,A549.2513KO.R1,A549.2513KO.R2,A549.2513KO.R3,A549.WT.R1,A549.WT.R2,A549.WT.R3
ABCC9,protein_coding,0.27764,0.395013,0.430844,0.977783,0.828822,1.396887
ABCG1,protein_coding,8.265487,11.619252,8.790162,2.574828,2.760936,3.396875
ABLIM1,protein_coding,3.350372,4.265354,3.16148,6.068068,8.367504,8.8395
AC004846.1,lncRNA,0.310605,0.61898,0.677842,1.496368,1.917502,2.127467
AC006460.1,lncRNA,0.582857,1.416124,0.575968,2.050196,2.612842,3.759469
AC008878.1,protein_coding,1.395696,6.050574,10.168191,0.999906,1.035541,0
AC010643.1,lncRNA,0.263829,0.181033,0.152428,0.407307,0.568518,0.540462
AC010733.1,lncRNA,0.038811,0.04412,0.089947,0.286158,0.782172,0.685727
AC010889.1,lncRNA,0.689344,0.772418,0.762052,0.232822,0.446539,0.280282
AC011921.1,lncRNA,0.90769,1.362273,0.642454,1.914766,2.928941,3.338715
AC012313.3,lncRNA,0.778839,1.341676,1.233362,3.117471,2.060493,4.696227
AC018865.2,lncRNA,0,0.051705,0,0.414983,0.465476,1.075694
AC021092.1,lncRNA,0.239791,0.597139,0.347877,0.929519,1.135467,0.894217
AC025442.1,lncRNA,3.724822,3.693207,4.460865,1.12841,1.751866,1.95577
AC026329.1,lncRNA,0.512199,0.808192,0.751443,0.377342,0.343879,0.375476
AC027702.2,lncRNA,1.108888,2.135252,0.9513,0.389825,0.648463,0.364027
AC067852.5,lncRNA,0.935254,2.194815,0.949228,2.738194,3.963678,4.68527
AC068491.3,lncRNA,3.126545,3.484489,4.114314,1.535683,2.371753,1.653652
AC068580.4,protein_coding,28.188322,16.269012,10.045285,3.950247,17.056953,5.065829
AC084117.1,lncRNA,2.230052,2.681725,2.537702,5.907506,8.941156,7.68496
AC090152.1,lncRNA,1.857829,2.538087,1.613875,0.16486,0.094508,0.126044
AC092171.3,lncRNA,0.761045,1.460265,1.325212,0.553328,0.66459,0.5903
AC093484.4,lncRNA,10.660272,12.365403,12.436204,20.605099,26.135487,36.5714
AC099786.2,lncRNA,0,0.044073,0,2.29648,3.063261,4.115291
AC104024.4,lncRNA,0.555865,0.483303,0.509439,0.948193,2.133271,1.752972
